user_id,num_clicks,avg_session_clicks,num_empty_sessions,num_sessions,num_canceled_trips,avg_session_duration,num_trips,num_destinations,num_flights,num_hotels,num_discount_trips,avg_money_spent_flight,avg_time_after_booking,avg_money_spent_per_seat,avg_money_spent_hotel,avg_km_flown,avg_bags,gender,married,has_children,home_country,home_city,age,total_spend,flight_ratio,hotel_ratio,cancelation_rate,empty_session_ratio,segment_perk,segment
23557,82,10.25,6,8,0,76.625,2.0,0.0,0.0,2.0,1.0,,,,1835.25,,,F,True,False,usa,new york,67.01095890410959,1835.25,0.0,1.0,0.0,0.75,no cancelation fees,Baseline
94883,73,9.125,6,8,0,67.75,2.0,2.0,4.0,2.0,0.0,432.045,6.5,276.2525,115.0,1453.6661275572988,0.5,F,True,False,usa,kansas city,53.73150684931507,547.0450000000001,2.0,1.0,0.0,0.75,no cancelation fees,Baseline
101486,131,16.375,6,8,0,122.25,2.0,1.0,2.0,2.0,0.0,189.91,9.0,189.91,1099.5,965.3405679141885,0.0,F,True,True,usa,tacoma,53.0027397260274,1289.41,1.0,1.0,0.0,0.75,no cancelation fees,Baseline
101961,126,15.75,3,8,0,117.75,5.0,5.0,10.0,5.0,1.0,247.5386,5.6,247.5386,485.8,1321.6841826795614,0.4,F,True,False,usa,boston,45.227397260273975,733.3386,2.0,1.0,0.0,0.375,exclusive discounts,Browsers or spenders
106907,240,30.0,6,8,0,758.915066125,1.0,1.0,2.0,1.0,0.0,13902.06,224.0,2317.01,4257.0,13402.32307720093,5.0,F,True,True,usa,miami,47.054794520547944,18159.059999999998,2.0,1.0,0.0,0.75,free checked bags,Group travelers or heavy baggage
118043,164,20.5,3,8,0,153.125,5.0,3.0,6.0,4.0,3.0,779.7633333333333,8.666666666666666,445.8472222222222,1404.1125,2455.0245088864153,1.0,F,False,True,usa,los angeles,53.5972602739726,2183.8758333333335,1.2,0.8,0.0,0.375,free checked bags,Group travelers or heavy baggage
120851,55,6.875,7,8,0,51.75,1.0,1.0,2.0,1.0,0.0,384.68,7.0,384.68,2002.0,2249.833872451225,0.0,F,True,True,usa,santa ana,53.20273972602739,2386.68,2.0,1.0,0.0,0.875,no cancelation fees,Baseline
125845,159,17.666666666666668,6,9,0,131.77777777777777,3.0,3.0,6.0,3.0,1.0,548.9209999999999,8.333333333333334,448.2838333333332,229.66666666666663,2700.7814584715748,0.6666666666666666,F,True,False,usa,el paso,42.013698630136986,778.5876666666666,2.0,1.0,0.0,0.6666666666666666,one night with flight,VIP high spenders & frequent travelers
133058,73,9.125,7,8,0,68.125,1.0,1.0,2.0,0.0,0.0,423.51,6.0,423.51,,2708.294381612006,0.0,F,False,False,usa,austin,20.649315068493152,423.51,2.0,0.0,0.0,0.875,no cancelation fees,Baseline
149058,142,17.75,3,8,0,131.75,5.0,5.0,10.0,5.0,1.0,383.8265,5.8,334.4105,1115.8,1904.7557523104629,0.4,F,False,True,usa,birmingham,52.87671232876713,1499.6264999999999,2.0,1.0,0.0,0.375,exclusive discounts,Browsers or spenders
